x,y,r,g,b,line,col,level
487,455,241,183,119,8,7,0
495,455,85,62,36,8,7,1
502,458,226,96,86,8,7,2
511,457,73,78,96,8,7,3
545,453,91,99,103,8,8,0
555,455,227,139,62,8,8,1
561,457,197,178,133,8,8,2
569,457,211,105,79,8,8,3
605,456,158,60,50,8,9,0
613,453,121,92,72,8,9,1
622,455,229,117,94,8,9,2
628,454,78,88,96,8,9,3
663,455,142,105,81,8,10,0
672,452,222,110,91,8,10,1
680,452,66,56,49,8,10,2
686,452,211,135,66,8,10,3
722,452,219,135,55,8,11,0
730,450,106,75,55,8,11,1
738,450,226,102,89,8,11,2
746,450,166,130,101,8,11,3
782,443,94,59,60,8,12,0
789,454,189,173,134,8,12,1
797,452,170,55,58,8,12,2
803,453,173,99,34,8,12,3
836,450,243,194,146,8,13,0
844,449,166,52,55,8,13,1
852,450,84,95,102,8,13,2
858,451,229,153,84,8,13,3
893,441,73,66,62,8,14,0
900,443,227,103,86,8,14,1
908,445,204,185,143,8,14,2
916,447,97,59,63,8,14,3
949,441,234,172,119,8,15,0
957,446,86,52,59,8,15,1
965,450,96,76,59,8,15,2
970,448,226,123,103,8,15,3
1001,442,50,48,36,8,16,0
1010,444,149,46,50,8,16,1
1020,447,181,113,60,8,16,2
1024,445,77,89,101,8,16,3
1057,451,215,124,95,8,17,0
1063,450,83,50,52,8,17,1
1072,451,137,131,98,8,17,2
1080,450,221,141,80,8,17,3
1110,452,70,77,82,8,18,0
1116,452,220,149,77,8,18,1
1125,452,93,60,62,8,18,2
1133,450,227,169,112,8,18,3
1164,457,170,116,61,8,19,0
1172,448,69,47,43,8,19,1
1179,452,182,114,50,8,19,2
1185,450,133,48,49,8,19,3
91,523,77,81,92,9,0,0
98,518,250,192,133,9,0,1
108,515,62,56,51,9,0,2
113,515,222,111,85,9,0,3
144,510,227,158,90,9,1,0
154,513,63,74,88,9,1,1
160,515,182,111,48,9,1,2
167,517,107,66,61,9,1,3
199,512,210,179,130,9,2,0
205,512,108,69,57,9,2,1
214,515,239,158,83,9,2,2
221,512,85,97,101,9,2,3
252,512,205,92,78,9,3,0
260,511,58,67,79,9,3,1
271,512,238,186,129,9,3,2
276,510,90,52,52,9,3,3
311,510,233,147,72,9,4,0
318,511,211,183,139,9,4,1
328,510,164,46,56,9,4,2
334,508,79,68,49,9,4,3
369,513,184,147,100,9,5,0
